1	static void badSink ( char * data ) { { char dest [ 50 ] = "" ; memcpy ( dest , data , strlen ( data ) * sizeof ( char ) ) ; dest [ 50 - 1 ] = '\0' ; printLine ( data ) ; } } 
12	void FUN ( ) { int * data ; data = NULL ; if ( 1 ) { data = ( int * ) ALLOCA ( 10 ) ; } { int source [ 10 ] = { 0 } ; memcpy ( data , source , 10 * sizeof ( int ) ) ; printIntLine ( data [ 0 ] ) ; } } 	1
13	static void FUN ( ) { char * data ; char * dataBadBuffer = ( char * ) ALLOCA ( ( 10 ) * sizeof ( char ) ) ; char * dataGoodBuffer = ( char * ) ALLOCA ( ( 10 + 1 ) * sizeof ( char ) ) ; if ( 0 ) { printLine ( STR ) ; } else { data = dataGoodBuffer ; data [ 0 ] = '\0' ; } { char source [ 10 + 1 ] = "AAAAAAAAAA" ; strncpy ( data , source , strlen ( source ) + 1 ) ; printLine ( data ) ; } } 	0
14	static void FUN ( ) { char * data ; char * dataBuffer = ( char * ) ALLOCA ( 100 * sizeof ( char ) ) ; data = dataBuffer ; if ( 1 ) { memset ( data , 'A' , 50 - 1 ) ; data [ 50 - 1 ] = '\0' ; } { char dest [ 50 ] = "" ; strncat ( dest , data , strlen ( data ) ) ; dest [ 50 - 1 ] = '\0' ; printLine ( data ) ; } } 	0
15	typedef unsigned short wchar_t; static void FUN ( ) { wchar_t * data ; wchar_t * dataBuffer = ( wchar_t * ) ALLOCA ( 100 * sizeof ( wchar_t ) ) ; data = dataBuffer ; if ( false ) { printLine ( STR ) ; } else { wmemset ( data , L'A' , 50 - 1 ) ; data [ 50 - 1 ] = L'\0' ; } { wchar_t dest [ 50 ] = L"" ; wcsncpy ( dest , data , wcslen ( data ) ) ; dest [ 50 - 1 ] = L'\0' ; printWLine ( data ) ; } } 	0
16	typedef long unsigned int size_t; void FUN ( int * data ) { { int source [ 100 ] = { 0 } ; { size_t i ; for ( i = 0 ; i < 100 ; i ++ ) { data [ i ] = source [ i ] ; } printIntLine ( data [ 0 ] ) ; } } } 	1
17	typedef long unsigned int size_t; void FUN ( int * data ) { { int source [ 100 ] = { 0 } ; { size_t i ; for ( i = 0 ; i < 100 ; i ++ ) { data [ i ] = source [ i ] ; } printIntLine ( data [ 0 ] ) ; } } } 	1
18	static void FUN ( ) { char * data ; char dataBadBuffer [ 50 ] ; char dataGoodBuffer [ 100 ] ; if ( 5 == 5 ) { data = dataGoodBuffer ; data [ 0 ] = '\0' ; } { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; snprintf ( data , 100 , "%s" , source ) ; printLine ( data ) ; } } 	0
19	void FUN ( ) { char * data ; char * dataBadBuffer = ( char * ) ALLOCA ( 50 * sizeof ( char ) ) ; char * dataGoodBuffer = ( char * ) ALLOCA ( 100 * sizeof ( char ) ) ; if ( true ) { data = dataBadBuffer ; data [ 0 ] = '\0' ; } { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; memmove ( data , source , 100 * sizeof ( char ) ) ; data [ 100 - 1 ] = '\0' ; printLine ( data ) ; } } 	1
20	static void FUN ( ) { int data ; data = - 1 ; if ( 5 == 5 ) { data = 7 ; } if ( 5 == 5 ) { { int i ; int buffer [ 10 ] = { 0 } ; if ( data >= 0 ) { buffer [ data ] = 1 ; for ( i = 0 ; i < 10 ; i ++ ) { printIntLine ( buffer [ i ] ) ; } } else { printLine ( STR ) ; } } } } 	0
21	typedef unsigned short wchar_t; void FUN ( wchar_t * data ) { { wchar_t source [ 10 + 1 ] = L"AAAAAAAAAA" ; wcscpy ( data , source ) ; printWLine ( data ) ; } } 	1
22	typedef unsigned short  WORD;typedef struct WSAData {  WORD           wVersion;  WORD           wHighVersion;  unsigned short iMaxSockets;  unsigned short iMaxUdpDg;  char           lpVendorInfo;  char           szDescription[WSADESCRIPTION_LEN + 1];  char           szSystemStatus[WSASYS_STATUS_LEN + 1];  char           szDescription[WSADESCRIPTION_LEN + 1];  char           szSystemStatus[WSASYS_STATUS_LEN + 1];  unsigned short iMaxSockets;  unsigned short iMaxUdpDg;  char           lpVendorInfo;} WSADATA, LPWSADATA;static void FUN ( ) { int data ; data = - 1 ; if ( 5 == 5 ) { { WSADATA wsaData ; int wsaDataInit = 0 ; int recvResult ; struct sockaddr_in service ; int connectSocket = INVALID_int ; char inputBuffer [ (3 * sizeof(data) + 2) ] ; do { if ( WSAStartup ( MAKEWORD ( 2 , 2 ) , & wsaData ) != NO_ERROR ) { break ; } wsaDataInit = 1 ; connectSocket = socket ( AF_INET , SOCK_STREAM , IPPROTO_TCP ) ; if ( connectSocket == INVALID_int ) { break ; } memset ( & service , 0 , sizeof ( service ) ) ; service . sin_family = AF_INET ; service . sin_addr . s_addr = inet_addr ( "127.0.0.1" ) ; service . sin_port = htons ( 27015 ) ; if ( connect ( connectSocket , ( struct sockaddr * ) & service , sizeof ( service ) ) == int_ERROR ) { break ; } recvResult = recv ( connectSocket , inputBuffer , (3 * sizeof(data) + 2) - 1 , 0 ) ; if ( recvResult == int_ERROR || recvResult == 0 ) { break ; } inputBuffer [ recvResult ] = '\0' ; data = atoi ( inputBuffer ) ; } while ( 0 ) ; if ( connectSocket != INVALID_int ) { CLOSE_int ( connectSocket ) ; } if ( wsaDataInit ) { WSACleanup ( ) ; } } } if ( 5 != 5 ) { printLine ( STR ) ; } else { { int i ; int buffer [ 10 ] = { 0 } ; if ( data >= 0 && data < ( 10 ) ) { buffer [ data ] = 1 ; for ( i = 0 ; i < 10 ; i ++ ) { printIntLine ( buffer [ i ] ) ; } } else { printLine ( STR ) ; } } } } 	0
23	typedef unsigned short wchar_t; static void FUN ( wchar_t * data ) { { wchar_t source [ 100 ] ; wmemset ( source , L'C' , 100 - 1 ) ; source [ 100 - 1 ] = L'\0' ; wcsncat ( data , source , 100 ) ; printWLine ( data ) ; } } 	0
24	typedef signed long long int64_t ; typedef long unsigned int size_t; static void FUN ( ) { int64_t * data ; int64_t dataBadBuffer [ 50 ] ; int64_t dataGoodBuffer [ 100 ] ; if ( 1 ) { data = dataGoodBuffer ; } { int64_t source [ 100 ] = { 0 } ; { size_t i ; for ( i = 0 ; i < 100 ; i ++ ) { data [ i ] = source [ i ] ; } printLongLongLine ( data [ 0 ] ) ; } } } 	0
25	typedef unsigned short wchar_t; typedef long unsigned int size_t; static void FUN ( ) { wchar_t * data ; wchar_t dataBadBuffer [ 10 ] ; wchar_t dataGoodBuffer [ 10 + 1 ] ; if ( 1 ) { data = dataGoodBuffer ; data [ 0 ] = L'\0' ; } { wchar_t source [ 10 + 1 ] = L"AAAAAAAAAA" ; size_t i , sourceLen ; sourceLen = wcslen ( source ) ; for ( i = 0 ; i < sourceLen + 1 ; i ++ ) { data [ i ] = source [ i ] ; } printWLine ( data ) ; } } 	0
26	void FUN ( ) { char * data ; char * dataBuffer = ( char * ) ALLOCA ( 100 * sizeof ( char ) ) ; data = dataBuffer ; if ( true ) { memset ( data , 'A' , 100 - 1 ) ; data [ 100 - 1 ] = '\0' ; } { char dest [ 50 ] = "" ; strncpy ( dest , data , strlen ( data ) ) ; dest [ 50 - 1 ] = '\0' ; printLine ( data ) ; } } 	1
27	typedef signed long long int64_t ; static void FUN ( ) { int64_t * data ; int64_t * dataBadBuffer = ( int64_t * ) ALLOCA ( 50 * sizeof ( int64_t ) ) ; int64_t * dataGoodBuffer = ( int64_t * ) ALLOCA ( 100 * sizeof ( int64_t ) ) ; if ( 0 ) { printLine ( STR ) ; } else { data = dataGoodBuffer ; } { int64_t source [ 100 ] = { 0 } ; memmove ( data , source , 100 * sizeof ( int64_t ) ) ; printLongLongLine ( data [ 0 ] ) ; } } 	0
28	typedef unsigned short wchar_t; void FUN ( ) { wchar_t * data ; wchar_t dataBadBuffer [ 10 ] ; wchar_t dataGoodBuffer [ 10 + 1 ] ; data = dataBadBuffer ; data [ 0 ] = L'\0' ; { wchar_t source [ 10 + 1 ] = L"AAAAAAAAAA" ; memmove ( data , source , ( wcslen ( source ) + 1 ) * sizeof ( wchar_t ) ) ; printWLine ( data ) ; } } 	1
29	static void FUN ( ) { char * data ; char dataBadBuffer [ 10 ] ; char dataGoodBuffer [ 10 + 1 ] ; if ( 0 ) { printLine ( STR ) ; } else { data = dataGoodBuffer ; data [ 0 ] = '\0' ; } { char source [ 10 + 1 ] = "AAAAAAAAAA" ; memmove ( data , source , ( strlen ( source ) + 1 ) * sizeof ( char ) ) ; printLine ( data ) ; } } 	0
30	static void FUN ( ) { char * data ; void ( * funcPtr ) ( char * ) = goodG2BSink ; char * dataBadBuffer = ( char * ) ALLOCA ( ( 10 ) * sizeof ( char ) ) ; char * dataGoodBuffer = ( char * ) ALLOCA ( ( 10 + 1 ) * sizeof ( char ) ) ; data = dataGoodBuffer ; data [ 0 ] = '\0' ; funcPtr ( data ) ; } 	0
31	void FUN ( char * data ) { { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; memmove ( data , source , 100 * sizeof ( char ) ) ; data [ 100 - 1 ] = '\0' ; printLine ( data ) ; } } 	1
32	static void FUN ( ) { char * data ; char * dataBuffer = ( char * ) ALLOCA ( 100 * sizeof ( char ) ) ; data = dataBuffer ; if ( 5 != 5 ) { printLine ( STR ) ; } else { memset ( data , 'A' , 50 - 1 ) ; data [ 50 - 1 ] = '\0' ; } { char dest [ 50 ] = "" ; strcpy ( dest , data ) ; printLine ( data ) ; } } 	0
33	typedef long unsigned int size_t; static void FUN ( ) { void * data ; data = NULL ; if ( 5 != 5 ) { printLine ( STR ) ; } else { data = ( void * ) "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA" ; } if ( 5 == 5 ) { { size_t dataLen = strlen ( ( char * ) data ) ; void * dest = ( void * ) ALLOCA ( ( dataLen + 1 ) * 1 ) ; ( void ) strcpy ( dest , data ) ; printLine ( ( char * ) dest ) ; } } } 	0
34	void FUN ( ) { char * data ; char dataBadBuffer [ 50 ] ; char dataGoodBuffer [ 100 ] ; if ( 1 ) { data = dataBadBuffer ; data [ 0 ] = '\0' ; } { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; memcpy ( data , source , 100 * sizeof ( char ) ) ; data [ 100 - 1 ] = '\0' ; printLine ( data ) ; } } 	1
35	void FUN ( ) { int i , j ; int data ; data = - 1 ; for ( i = 0 ; i < 1 ; i ++ ) { fscanf ( stdin , "%d" , & data ) ; } for ( j = 0 ; j < 1 ; j ++ ) { { int i ; int buffer [ 10 ] = { 0 } ; if ( data >= 0 ) { buffer [ data ] = 1 ; for ( i = 0 ; i < 10 ; i ++ ) { printIntLine ( buffer [ i ] ) ; } } else { printLine ( STR ) ; } } } } 	1
36	typedef unsigned short wchar_t; static void FUN ( ) { wchar_t * data ; wchar_t * dataBuffer = ( wchar_t * ) ALLOCA ( 100 * sizeof ( wchar_t ) ) ; data = dataBuffer ; if ( 5 != 5 ) { printLine ( STR ) ; } else { wmemset ( data , L'A' , 50 - 1 ) ; data [ 50 - 1 ] = L'\0' ; } { wchar_t dest [ 50 ] = L"" ; wcscpy ( dest , data ) ; printWLine ( data ) ; } } 	0
37	static void FUN ( ) { char * data ; void ( * funcPtr ) ( char * ) = goodG2BSink ; char dataBuffer [ 100 ] ; data = dataBuffer ; memset ( data , 'A' , 50 - 1 ) ; data [ 50 - 1 ] = '\0' ; funcPtr ( data ) ; } 	0
38	void FUN ( void * dataVoidPtr ) { char * * dataPtr = ( char * * ) dataVoidPtr ; char * data = ( * dataPtr ) ; { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; strcpy ( data , source ) ; printLine ( data ) ; } } 	1
39	static void FUN ( ) { char * data ; char * dataBuffer = ( char * ) ALLOCA ( 100 * sizeof ( char ) ) ; data = dataBuffer ; goodG2B1Static = 0 ; data = goodG2B1Source ( data ) ; { char dest [ 50 ] = "" ; strncat ( dest , data , strlen ( data ) ) ; dest [ 50 - 1 ] = '\0' ; printLine ( data ) ; } } 	0
40	typedef signed long long int64_t ; typedef long unsigned int size_t; static void FUN ( ) { int64_t * data ; int64_t * dataBadBuffer = ( int64_t * ) ALLOCA ( 50 * sizeof ( int64_t ) ) ; int64_t * dataGoodBuffer = ( int64_t * ) ALLOCA ( 100 * sizeof ( int64_t ) ) ; if ( false ) { printLine ( STR ) ; } else { data = dataGoodBuffer ; } { int64_t source [ 100 ] = { 0 } ; { size_t i ; for ( i = 0 ; i < 100 ; i ++ ) { data [ i ] = source [ i ] ; } printLongLongLine ( data [ 0 ] ) ; } } } 	0
41	void FUN ( char * data ) { { char dest [ 50 ] = "" ; strncpy ( dest , data , strlen ( data ) ) ; dest [ 50 - 1 ] = '\0' ; printLine ( data ) ; } } 	1
42	typedef unsigned short wchar_t; static void FUN ( ) { wchar_t * data ; wchar_t * dataBadBuffer = ( wchar_t * ) ALLOCA ( 50 * sizeof ( wchar_t ) ) ; wchar_t * dataGoodBuffer = ( wchar_t * ) ALLOCA ( 100 * sizeof ( wchar_t ) ) ; if ( 5 == 5 ) { data = dataGoodBuffer ; data [ 0 ] = L'\0' ; } { wchar_t source [ 100 ] ; wmemset ( source , L'C' , 100 - 1 ) ; source [ 100 - 1 ] = L'\0' ; wcscat ( data , source ) ; printWLine ( data ) ; } } 	0
43	static void FUN ( ) { char * data ; char * dataBadBuffer = ( char * ) ALLOCA ( 50 * sizeof ( char ) ) ; char * dataGoodBuffer = ( char * ) ALLOCA ( 100 * sizeof ( char ) ) ; if ( true ) { data = dataGoodBuffer ; data [ 0 ] = '\0' ; } { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; memcpy ( data , source , 100 * sizeof ( char ) ) ; data [ 100 - 1 ] = '\0' ; printLine ( data ) ; } } 	0
44	typedef signed long long int64_t ; typedef long unsigned int size_t; static void FUN ( ) { int64_t * data ; int64_t * dataBadBuffer = ( int64_t * ) ALLOCA ( 50 * sizeof ( int64_t ) ) ; int64_t * dataGoodBuffer = ( int64_t * ) ALLOCA ( 100 * sizeof ( int64_t ) ) ; if ( 0 ) { printLine ( STR ) ; } else { data = dataGoodBuffer ; } { int64_t source [ 100 ] = { 0 } ; { size_t i ; for ( i = 0 ; i < 100 ; i ++ ) { data [ i ] = source [ i ] ; } printLongLongLine ( data [ 0 ] ) ; } } } 	0
45	static char * FUN ( char * data ) { memset ( data , 'A' , 50 - 1 ) ; data [ 50 - 1 ] = '\0' ; return data ; } 	0
46	typedef unsigned short wchar_t; static void FUN ( ) { wchar_t * data ; wchar_t dataBadBuffer [ 50 ] ; wchar_t dataGoodBuffer [ 100 ] ; if ( true ) { data = dataGoodBuffer ; data [ 0 ] = L'\0' ; } { wchar_t source [ 100 ] ; wmemset ( source , L'C' , 100 - 1 ) ; source [ 100 - 1 ] = L'\0' ; wcsncpy ( data , source , 100 - 1 ) ; data [ 100 - 1 ] = L'\0' ; printWLine ( data ) ; } } 	0
47	static void FUN ( ) { char * data ; char dataBuffer [ 100 ] ; data = dataBuffer ; if ( 5 != 5 ) { printLine ( STR ) ; } else { memset ( data , 'A' , 50 - 1 ) ; data [ 50 - 1 ] = '\0' ; } { char dest [ 50 ] = "" ; strcat ( dest , data ) ; printLine ( data ) ; } } 	0
48	void FUN ( char * data ) { { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; strcat ( data , source ) ; printLine ( data ) ; } } 	1
49	typedef signed long long int64_t ; typedef long unsigned int size_t; static void FUN ( ) { int64_t * data ; int64_t dataBadBuffer [ 50 ] ; int64_t dataGoodBuffer [ 100 ] ; if ( 5 != 5 ) { printLine ( STR ) ; } else { data = dataGoodBuffer ; } { int64_t source [ 100 ] = { 0 } ; { size_t i ; for ( i = 0 ; i < 100 ; i ++ ) { data [ i ] = source [ i ] ; } printLongLongLine ( data [ 0 ] ) ; } } } 	0
50	static void FUN ( ) { char * data ; char dataBuffer [ 100 ] ; data = dataBuffer ; if ( 5 != 5 ) { printLine ( STR ) ; } else { memset ( data , 'A' , 50 - 1 ) ; data [ 50 - 1 ] = '\0' ; } { char dest [ 50 ] = "" ; strncpy ( dest , data , strlen ( data ) ) ; dest [ 50 - 1 ] = '\0' ; printLine ( data ) ; } } 	0
51	typedef unsigned short wchar_t; typedef long unsigned int size_t; void FUN ( ) { void * data ; data = NULL ; if ( true ) { data = ( void * ) L"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA" ; } if ( true ) { { size_t dataLen = strlen ( ( char * ) data ) ; void * dest = ( void * ) ALLOCA ( ( dataLen + 1 ) * sizeof ( wchar_t ) ) ; ( void ) wcscpy ( dest , data ) ; printLine ( ( char * ) dest ) ; } } } 	1
52	static void FUN ( ) { char * data ; char * dataBuffer = ( char * ) ALLOCA ( 100 * sizeof ( char ) ) ; data = dataBuffer ; if ( false ) { printLine ( STR ) ; } else { memset ( data , 'A' , 50 - 1 ) ; data [ 50 - 1 ] = '\0' ; } { char dest [ 50 ] = "" ; snprintf ( dest , strlen ( data ) , "%s" , data ) ; printLine ( data ) ; } } 	0
53	static void FUN ( ) { char * data ; char dataBadBuffer [ 10 ] ; char dataGoodBuffer [ 10 + 1 ] ; if ( 5 == 5 ) { data = dataGoodBuffer ; data [ 0 ] = '\0' ; } { char source [ 10 + 1 ] = "AAAAAAAAAA" ; memcpy ( data , source , ( strlen ( source ) + 1 ) * sizeof ( char ) ) ; printLine ( data ) ; } } 	0
54	static void FUN ( ) { char * data ; char * dataBadBuffer = ( char * ) ALLOCA ( 50 * sizeof ( char ) ) ; char * dataGoodBuffer = ( char * ) ALLOCA ( 100 * sizeof ( char ) ) ; if ( 0 ) { printLine ( STR ) ; } else { data = dataGoodBuffer ; data [ 0 ] = '\0' ; } { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; snprintf ( data , 100 , "%s" , source ) ; printLine ( data ) ; } } 	0
55	void FUN ( ) { char * data ; char dataBuffer [ 100 ] ; data = dataBuffer ; while ( 1 ) { memset ( data , 'A' , 100 - 1 ) ; data [ 100 - 1 ] = '\0' ; break ; } { char dest [ 50 ] = "" ; strcat ( dest , data ) ; printLine ( data ) ; } } 	1
56	typedef long unsigned int size_t; void FUN ( ) { char * data ; char dataBadBuffer [ 10 ] ; char dataGoodBuffer [ 10 + 1 ] ; switch ( 6 ) { case 6 : data = dataBadBuffer ; data [ 0 ] = '\0' ; break ; default : printLine ( STR ) ; break ; } { char source [ 10 + 1 ] = "AAAAAAAAAA" ; size_t i , sourceLen ; sourceLen = strlen ( source ) ; for ( i = 0 ; i < sourceLen + 1 ; i ++ ) { data [ i ] = source [ i ] ; } printLine ( data ) ; } } 	1
57	typedef signed long long int64_t ; void FUN ( int64_t * data ) { { int64_t source [ 100 ] = { 0 } ; memcpy ( data , source , 100 * sizeof ( int64_t ) ) ; printLongLongLine ( data [ 0 ] ) ; } } 	1
58	static void FUN ( ) { int data ; data = - 1 ; data = 7 ; { int i ; int buffer [ 10 ] = { 0 } ; if ( data >= 0 ) { buffer [ data ] = 1 ; for ( i = 0 ; i < 10 ; i ++ ) { printIntLine ( buffer [ i ] ) ; } } else { printLine ( STR ) ; } } } 	0
59	typedef unsigned short wchar_t; typedef long unsigned int size_t; void FUN ( wchar_t * data ) { { wchar_t dest [ 50 ] = L"" ; size_t i , dataLen ; dataLen = wcslen ( data ) ; for ( i = 0 ; i < dataLen ; i ++ ) { dest [ i ] = data [ i ] ; } dest [ 50 - 1 ] = L'\0' ; printWLine ( data ) ; } } 	1
60	typedef unsigned short wchar_t; static void FUN ( ) { wchar_t * data ; wchar_t * dataBuffer = ( wchar_t * ) ALLOCA ( 100 * sizeof ( wchar_t ) ) ; data = dataBuffer ; if ( 5 != 5 ) { printLine ( STR ) ; } else { wmemset ( data , L'A' , 50 - 1 ) ; data [ 50 - 1 ] = L'\0' ; } { wchar_t dest [ 50 ] = L"" ; wcsncpy ( dest , data , wcslen ( data ) ) ; dest [ 50 - 1 ] = L'\0' ; printWLine ( data ) ; } } 	0
61	typedef unsigned short wchar_t; void FUN ( wchar_t * data ) { { wchar_t dest [ 50 ] = L"" ; wcscpy ( dest , data ) ; printWLine ( data ) ; } } 	1
62	typedef unsigned short wchar_t; static void FUN ( ) { wchar_t * data ; wchar_t * dataBadBuffer = ( wchar_t * ) ALLOCA ( 50 * sizeof ( wchar_t ) ) ; wchar_t * dataGoodBuffer = ( wchar_t * ) ALLOCA ( 100 * sizeof ( wchar_t ) ) ; if ( 5 != 5 ) { printLine ( STR ) ; } else { data = dataGoodBuffer ; data [ 0 ] = L'\0' ; } { wchar_t source [ 100 ] ; wmemset ( source , L'C' , 100 - 1 ) ; source [ 100 - 1 ] = L'\0' ; memmove ( data , source , 100 * sizeof ( wchar_t ) ) ; data [ 100 - 1 ] = L'\0' ; printWLine ( data ) ; } } 	0
63	static void FUN ( ) { char * data ; char dataBadBuffer [ 50 ] ; char dataGoodBuffer [ 100 ] ; if ( 5 != 5 ) { printLine ( STR ) ; } else { data = dataGoodBuffer ; data [ 0 ] = '\0' ; } { char source [ 100 ] ; memset ( source , 'C' , 100 - 1 ) ; source [ 100 - 1 ] = '\0' ; memmove ( data , source , 100 * sizeof ( char ) ) ; data [ 100 - 1 ] = '\0' ; printLine ( data ) ; } } 	0
64	typedef unsigned short  WORD;typedef struct WSAData {  WORD           wVersion;  WORD           wHighVersion;  unsigned short iMaxSockets;  unsigned short iMaxUdpDg;  char           lpVendorInfo;  char           szDescription[WSADESCRIPTION_LEN + 1];  char           szSystemStatus[WSASYS_STATUS_LEN + 1];  char           szDescription[WSADESCRIPTION_LEN + 1];  char           szSystemStatus[WSASYS_STATUS_LEN + 1];  unsigned short iMaxSockets;  unsigned short iMaxUdpDg;  char           lpVendorInfo;} WSADATA, LPWSADATA;void FUN ( ) { int data ; data = - 1 ; if ( (rand() % 2) ) { { WSADATA wsaData ; int wsaDataInit = 0 ; int recvResult ; struct sockaddr_in service ; int connectSocket = INVALID_int ; char inputBuffer [ (3 * sizeof(data) + 2) ] ; do { if ( WSAStartup ( MAKEWORD ( 2 , 2 ) , & wsaData ) != NO_ERROR ) { break ; } wsaDataInit = 1 ; connectSocket = socket ( AF_INET , SOCK_STREAM , IPPROTO_TCP ) ; if ( connectSocket == INVALID_int ) { break ; } memset ( & service , 0 , sizeof ( service ) ) ; service . sin_family = AF_INET ; service . sin_addr . s_addr = inet_addr ( "127.0.0.1" ) ; service . sin_port = htons ( 27015 ) ; if ( connect ( connectSocket , ( struct sockaddr * ) & service , sizeof ( service ) ) == int_ERROR ) { break ; } recvResult = recv ( connectSocket , inputBuffer , (3 * sizeof(data) + 2) - 1 , 0 ) ; if ( recvResult == int_ERROR || recvResult == 0 ) { break ; } inputBuffer [ recvResult ] = '\0' ; data = atoi ( inputBuffer ) ; } while ( 0 ) ; if ( connectSocket != INVALID_int ) { CLOSE_int ( connectSocket ) ; } if ( wsaDataInit ) { WSACleanup ( ) ; } } } else { data = 7 ; } if ( (rand() % 2) ) { { int i ; int buffer [ 10 ] = { 0 } ; if ( data >= 0 ) { buffer [ data ] = 1 ; for ( i = 0 ; i < 10 ; i ++ ) { printIntLine ( buffer [ i ] ) ; } } else { printLine ( STR ) ; } } } else { { int i ; int buffer [ 10 ] = { 0 } ; if ( data >= 0 && data < ( 10 ) ) { buffer [ data ] = 1 ; for ( i = 0 ; i < 10 ; i ++ ) { printIntLine ( buffer [ i ] ) ; } } else { printLine ( STR ) ; } } } } 	1
